,Datetime (UTC),Country,Zone name,Zone id,carbon_intensity,Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method,datetime,hour,day_of_week,month,is_weekend
0,2023-01-01 00:00:00,USA,USA,US,345.84,408.44,43.31,21.23,,False,,2023-01-01 00:00:00,0,6,1,True
1,2023-01-01 01:00:00,USA,USA,US,331.6,392.15,45.68,23.23,,False,,2023-01-01 01:00:00,1,6,1,True
2,2023-01-01 02:00:00,USA,USA,US,328.01,387.57,46.53,23.49,,False,,2023-01-01 02:00:00,2,6,1,True
3,2023-01-01 03:00:00,USA,USA,US,324.6,383.16,47.44,23.68,,False,,2023-01-01 03:00:00,3,6,1,True
4,2023-01-01 04:00:00,USA,USA,US,321.59,379.04,48.36,23.91,,False,,2023-01-01 04:00:00,4,6,1,True
5,2023-01-01 05:00:00,USA,USA,US,318.66,375.59,48.94,23.84,,False,,2023-01-01 05:00:00,5,6,1,True
6,2023-01-01 06:00:00,USA,USA,US,314.93,371.43,49.43,23.67,,False,,2023-01-01 06:00:00,6,6,1,True
7,2023-01-01 07:00:00,USA,USA,US,315.64,372.03,49.47,23.11,,False,,2023-01-01 07:00:00,7,6,1,True
8,2023-01-01 08:00:00,USA,USA,US,315.76,371.63,49.76,22.95,,False,,2023-01-01 08:00:00,8,6,1,True
9,2023-01-01 09:00:00,USA,USA,US,313.13,368.58,50.23,23.19,,False,,2023-01-01 09:00:00,9,6,1,True
10,2023-01-01 10:00:00,USA,USA,US,312.94,368.14,50.44,23.25,,False,,2023-01-01 10:00:00,10,6,1,True
11,2023-01-01 11:00:00,USA,USA,US,317.01,372.62,49.88,22.75,,False,,2023-01-01 11:00:00,11,6,1,True
12,2023-01-01 12:00:00,USA,USA,US,322.7,379.82,48.51,22.01,,False,,2023-01-01 12:00:00,12,6,1,True
13,2023-01-01 13:00:00,USA,USA,US,327.0,385.21,47.55,21.57,,False,,2023-01-01 13:00:00,13,6,1,True
14,2023-01-01 14:00:00,USA,USA,US,326.61,385.02,47.55,22.15,,False,,2023-01-01 14:00:00,14,6,1,True
15,2023-01-01 15:00:00,USA,USA,US,326.53,385.24,47.54,22.49,,False,,2023-01-01 15:00:00,15,6,1,True
16,2023-01-01 16:00:00,USA,USA,US,329.45,388.82,47.03,22.21,,False,,2023-01-01 16:00:00,16,6,1,True
17,2023-01-01 17:00:00,USA,USA,US,330.64,390.3,46.8,22.18,,False,,2023-01-01 17:00:00,17,6,1,True
18,2023-01-01 18:00:00,USA,USA,US,331.18,390.99,46.68,22.17,,False,,2023-01-01 18:00:00,18,6,1,True
19,2023-01-01 19:00:00,USA,USA,US,335.98,396.58,45.79,21.35,,False,,2023-01-01 19:00:00,19,6,1,True
20,2023-01-01 20:00:00,USA,USA,US,342.01,403.62,44.58,20.17,,False,,2023-01-01 20:00:00,20,6,1,True
21,2023-01-01 21:00:00,USA,USA,US,344.91,407.74,43.47,19.28,,False,,2023-01-01 21:00:00,21,6,1,True
22,2023-01-01 22:00:00,USA,USA,US,351.4,415.47,42.1,18.53,,False,,2023-01-01 22:00:00,22,6,1,True
23,2023-01-01 23:00:00,USA,USA,US,352.94,418.01,41.4,18.52,,False,,2023-01-01 23:00:00,23,6,1,True
24,2023-01-02 00:00:00,USA,USA,US,345.4,409.35,42.6,19.98,,False,,2023-01-02 00:00:00,0,0,1,False
25,2023-01-02 01:00:00,USA,USA,US,339.17,402.38,43.51,20.87,,False,,2023-01-02 01:00:00,1,0,1,False
26,2023-01-02 02:00:00,USA,USA,US,336.02,398.59,44.17,21.11,,False,,2023-01-02 02:00:00,2,0,1,False
27,2023-01-02 03:00:00,USA,USA,US,335.11,396.85,44.75,20.97,,False,,2023-01-02 03:00:00,3,0,1,False
28,2023-01-02 04:00:00,USA,USA,US,331.52,391.77,45.98,21.34,,False,,2023-01-02 04:00:00,4,0,1,False
29,2023-01-02 05:00:00,USA,USA,US,327.7,386.85,47.02,21.44,,False,,2023-01-02 05:00:00,5,0,1,False
30,2023-01-02 06:00:00,USA,USA,US,325.92,384.45,47.52,21.11,,False,,2023-01-02 06:00:00,6,0,1,False
31,2023-01-02 07:00:00,USA,USA,US,322.39,380.37,48.16,21.15,,False,,2023-01-02 07:00:00,7,0,1,False
32,2023-01-02 08:00:00,USA,USA,US,322.73,381.02,47.87,20.63,,False,,2023-01-02 08:00:00,8,0,1,False
33,2023-01-02 09:00:00,USA,USA,US,325.99,384.87,47.25,20.07,,False,,2023-01-02 09:00:00,9,0,1,False
34,2023-01-02 10:00:00,USA,USA,US,332.14,392.19,46.06,19.24,,False,,2023-01-02 10:00:00,10,0,1,False
35,2023-01-02 11:00:00,USA,USA,US,338.09,399.49,44.78,18.82,,False,,2023-01-02 11:00:00,11,0,1,False
36,2023-01-02 12:00:00,USA,USA,US,336.31,397.96,44.82,19.84,,False,,2023-01-02 12:00:00,12,0,1,False
37,2023-01-02 13:00:00,USA,USA,US,331.61,393.35,45.21,21.06,,False,,2023-01-02 13:00:00,13,0,1,False
38,2023-01-02 14:00:00,USA,USA,US,328.89,390.61,45.5,21.96,,False,,2023-01-02 14:00:00,14,0,1,False
39,2023-01-02 15:00:00,USA,USA,US,329.86,392.06,45.19,22.26,,False,,2023-01-02 15:00:00,15,0,1,False
40,2023-01-02 16:00:00,USA,USA,US,328.31,389.93,45.8,23.16,,False,,2023-01-02 16:00:00,16,0,1,False
41,2023-01-02 17:00:00,USA,USA,US,329.61,390.72,46.11,23.8,,False,,2023-01-02 17:00:00,17,0,1,False
42,2023-01-02 18:00:00,USA,USA,US,329.96,390.71,46.34,23.97,,False,,2023-01-02 18:00:00,18,0,1,False
43,2023-01-02 19:00:00,USA,USA,US,330.8,391.91,45.99,23.66,,False,,2023-01-02 19:00:00,19,0,1,False
44,2023-01-02 20:00:00,USA,USA,US,329.3,390.47,45.99,23.73,,False,,2023-01-02 20:00:00,20,0,1,False
45,2023-01-02 21:00:00,USA,USA,US,331.37,393.04,45.41,23.45,,False,,2023-01-02 21:00:00,21,0,1,False
46,2023-01-02 22:00:00,USA,USA,US,332.91,395.29,44.8,23.48,,False,,2023-01-02 22:00:00,22,0,1,False
47,2023-01-02 23:00:00,USA,USA,US,337.18,399.9,44.04,23.11,,False,,2023-01-02 23:00:00,23,0,1,False
48,2023-01-03 00:00:00,USA,USA,US,340.38,403.73,43.35,22.5,,False,,2023-01-03 00:00:00,0,1,1,False
49,2023-01-03 01:00:00,USA,USA,US,339.99,403.26,43.43,22.37,,False,,2023-01-03 01:00:00,1,1,1,False
50,2023-01-03 02:00:00,USA,USA,US,334.62,396.73,44.55,22.9,,False,,2023-01-03 02:00:00,2,1,1,False
51,2023-01-03 03:00:00,USA,USA,US,328.42,389.37,45.67,23.23,,False,,2023-01-03 03:00:00,3,1,1,False
52,2023-01-03 04:00:00,USA,USA,US,322.69,382.05,47.09,23.63,,False,,2023-01-03 04:00:00,4,1,1,False
53,2023-01-03 05:00:00,USA,USA,US,317.15,374.96,48.54,23.97,,False,,2023-01-03 05:00:00,5,1,1,False
54,2023-01-03 06:00:00,USA,USA,US,311.47,368.2,49.65,24.16,,False,,2023-01-03 06:00:00,6,1,1,False
55,2023-01-03 07:00:00,USA,USA,US,307.06,363.62,50.13,24.15,,False,,2023-01-03 07:00:00,7,1,1,False
56,2023-01-03 08:00:00,USA,USA,US,307.04,363.62,50.09,23.86,,False,,2023-01-03 08:00:00,8,1,1,False
57,2023-01-03 09:00:00,USA,USA,US,307.38,364.03,49.99,23.71,,False,,2023-01-03 09:00:00,9,1,1,False
58,2023-01-03 10:00:00,USA,USA,US,311.05,368.99,48.85,23.12,,False,,2023-01-03 10:00:00,10,1,1,False
59,2023-01-03 11:00:00,USA,USA,US,318.69,378.94,46.82,22.34,,False,,2023-01-03 11:00:00,11,1,1,False
60,2023-01-03 12:00:00,USA,USA,US,326.66,388.53,45.29,22.26,,False,,2023-01-03 12:00:00,12,1,1,False
