,Unnamed: 0.1,Unnamed: 0,Datetime,Country,Zone name,Zone id,carbon_intensity,Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data estimated,hour,day_of_week,month,is_weekend,carbon_1hr_ago,is_summer,hour_sin,hour_cos,carbon_trend,trend_magnitude,is_stable,carbon_24hr_ago,carbon_avg_3hr
0,0,0.0,2023-01-01 00:00:00,USA,USA,US,345.84,408.44,43.31,21.23,False,0.0,6.0,1.0,True,345.84,False,0.0,1.0,0.0,0.0,True,345.84,0.0
1,1,1.0,2023-01-01 01:00:00,USA,USA,US,331.6,392.15,45.68,23.23,False,1.0,6.0,1.0,True,345.84,False,0.258819045102521,0.965925826289068,-14.24,14.24,False,345.84,0.0
2,2,2.0,2023-01-01 02:00:00,USA,USA,US,328.01,387.57,46.53,23.49,False,2.0,6.0,1.0,True,331.6,False,0.5,0.866025403784439,-3.59000000000003,3.59000000000003,True,345.84,335.15
3,3,3.0,2023-01-01 03:00:00,USA,USA,US,324.6,383.16,47.44,23.68,False,3.0,6.0,1.0,True,328.01,False,0.707106781186548,0.707106781186548,-3.40999999999997,3.40999999999997,True,345.84,328.07
4,4,4.0,2023-01-01 04:00:00,USA,USA,US,321.59,379.04,48.36,23.91,False,4.0,6.0,1.0,True,324.6,False,0.866025403784439,0.5,-3.01000000000005,3.01000000000005,True,345.84,324.733333333333
5,5,5.0,2023-01-01 05:00:00,USA,USA,US,318.66,375.59,48.94,23.84,False,5.0,6.0,1.0,True,321.59,False,0.965925826289068,0.258819045102521,-2.92999999999995,2.92999999999995,True,345.84,321.616666666667
6,6,6.0,2023-01-01 06:00:00,USA,USA,US,314.93,371.43,49.43,23.67,False,6.0,6.0,1.0,True,318.66,False,1.0,6.12323399573677e-17,-3.73000000000002,3.73000000000002,True,345.84,318.393333333333
7,7,7.0,2023-01-01 07:00:00,USA,USA,US,315.64,372.03,49.47,23.11,False,7.0,6.0,1.0,True,314.93,False,0.965925826289068,-0.258819045102521,0.70999999999998,0.70999999999998,True,345.84,316.41
8,8,8.0,2023-01-01 08:00:00,USA,USA,US,315.76,371.63,49.76,22.95,False,8.0,6.0,1.0,True,315.64,False,0.866025403784439,-0.5,0.120000000000005,0.120000000000005,True,345.84,315.443333333333
9,9,9.0,2023-01-01 09:00:00,USA,USA,US,313.13,368.58,50.23,23.19,False,9.0,6.0,1.0,True,315.76,False,0.707106781186548,-0.707106781186548,-2.63,2.63,True,345.84,314.843333333333
10,10,10.0,2023-01-01 10:00:00,USA,USA,US,312.94,368.14,50.44,23.25,False,10.0,6.0,1.0,True,313.13,False,0.5,-0.866025403784439,-0.189999999999998,0.189999999999998,True,345.84,313.943333333333
11,11,11.0,2023-01-01 11:00:00,USA,USA,US,317.01,372.62,49.88,22.75,False,11.0,6.0,1.0,True,312.94,False,0.258819045102521,-0.965925826289068,4.06999999999999,4.06999999999999,True,345.84,314.36
12,12,12.0,2023-01-01 12:00:00,USA,USA,US,322.7,379.82,48.51,22.01,False,12.0,6.0,1.0,True,317.01,False,1.22464679914735e-16,-1.0,5.69,5.69,True,345.84,317.55
13,13,13.0,2023-01-01 13:00:00,USA,USA,US,327.0,385.21,47.55,21.57,False,13.0,6.0,1.0,True,322.7,False,-0.258819045102521,-0.965925826289068,4.30000000000001,4.30000000000001,True,345.84,322.236666666667
14,14,14.0,2023-01-01 14:00:00,USA,USA,US,326.61,385.02,47.55,22.15,False,14.0,6.0,1.0,True,327.0,False,-0.5,-0.866025403784439,-0.389999999999986,0.389999999999986,True,345.84,325.436666666667
15,15,15.0,2023-01-01 15:00:00,USA,USA,US,326.53,385.24,47.54,22.49,False,15.0,6.0,1.0,True,326.61,False,-0.707106781186547,-0.707106781186548,-0.0800000000000409,0.0800000000000409,True,345.84,326.713333333333
16,16,16.0,2023-01-01 16:00:00,USA,USA,US,329.45,388.82,47.03,22.21,False,16.0,6.0,1.0,True,326.53,False,-0.866025403784438,-0.5,2.92000000000002,2.92000000000002,True,345.84,327.53
