,Unnamed: 0,Datetime,Country,Zone name,Zone id,carbon_intensity,Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data estimated,hour,day_of_week,month,is_weekend,carbon_1hr_ago,is_summer,hour_sin,hour_cos,carbon_trend,trend_magnitude,is_stable,carbon_24hr_ago,carbon_avg_3hr
0,0.0,2023-01-01 00:00:00,USA,USA,US,345.84,408.44,43.31,21.23,FALSE,0.0,6.0,1.0,TRUE,345.84,FALSE,0.0,1.0,0.0,0.0,TRUE,345.84,0.0
1,1.0,2023-01-01 01:00:00,USA,USA,US,331.6,392.15,45.68,23.23,FALSE,1.0,6.0,1.0,TRUE,345.84,FALSE,0.25881904510252100,0.9659258262890680,-14.240000000000000,14.240000000000000,FALSE,345.84,0.0
2,2.0,2023-01-01 02:00:00,USA,USA,US,328.01,387.57,46.53,23.49,FALSE,2.0,6.0,1.0,TRUE,331.6,FALSE,0.50000000000000000,0.8660254037844390,-3.590000000000030,3.590000000000030,TRUE,345.84,335.15000000000000
3,3.0,2023-01-01 03:00:00,USA,USA,US,324.6,383.16,47.44,23.68,FALSE,3.0,6.0,1.0,TRUE,328.01,FALSE,0.7071067811865480,0.7071067811865480,-3.409999999999970,3.409999999999970,TRUE,345.84,328.07
4,4.0,2023-01-01 04:00:00,USA,USA,US,321.59,379.04,48.36,23.91,FALSE,4.0,6.0,1.0,TRUE,324.6,FALSE,0.8660254037844390,0.5000000000000000,-3.0100000000000500,3.0100000000000500,TRUE,345.84,324.7333333333330
5,5.0,2023-01-01 05:00:00,USA,USA,US,318.66,375.59,48.94,23.84,FALSE,5.0,6.0,1.0,TRUE,321.59,FALSE,0.9659258262890680,0.25881904510252100,-2.92999999999995,2.92999999999995,TRUE,345.84,321.61666666666700
6,6.0,2023-01-01 06:00:00,USA,USA,US,314.93,371.43,49.43,23.67,FALSE,6.0,6.0,1.0,TRUE,318.66,FALSE,1.0,6.12323399573677E-17,-3.730000000000020,3.730000000000020,TRUE,345.84,318.3933333333330
7,7.0,2023-01-01 07:00:00,USA,USA,US,315.64,372.03,49.47,23.11,FALSE,7.0,6.0,1.0,TRUE,314.93,FALSE,0.9659258262890680,-0.25881904510252100,0.7099999999999800,0.7099999999999800,TRUE,345.84,316.41
8,8.0,2023-01-01 08:00:00,USA,USA,US,315.76,371.63,49.76,22.95,FALSE,8.0,6.0,1.0,TRUE,315.64,FALSE,0.8660254037844390,-0.50000000000000000,0.12000000000000500,0.12000000000000500,TRUE,345.84,315.4433333333330
9,9.0,2023-01-01 09:00:00,USA,USA,US,313.13,368.58,50.23,23.19,FALSE,9.0,6.0,1.0,TRUE,315.76,FALSE,0.7071067811865480,-0.7071067811865480,-2.6300000000000000,2.6300000000000000,TRUE,345.84,314.8433333333330
